id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,suggested_chinese,translation_sense,source_languages,match_score,direct_score,matching_gloss_score,score_margin,source_line,source,license
3654,blahodativka,blahodativka,proper noun,,布拉霍達蒂夫卡,"A village in Kalynivske settlement hromada, Beryslav Raion, Kherson Oblast, Ukraine.",[],布拉霍達蒂夫卡,"village in Kalynivske, Beryslav, Kherson, Ukraine",Chinese Mandarin,0.6879,0.6079,1.0000,0.6879,1423373,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
17843,leg,leg,noun,C,腿,"In humans, the lower limb extending from the groin to the ankle.","[{""english"": ""Roger slipped on the ice and hurt his leg."", ""chinese"": ""罗杰在冰上滑倒了，弄伤了腿。""}]",腳；腿；跤；跤腿,lower limb from groin to ankle,Chinese | Chinese Mandarin,0.6757,0.5957,1.0000,0.6757,5529,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66736,stop,stop,verb,T,停,(transitive) To cause (something) to cease moving or progressing.,"[{""english"": ""I wish it would stop raining."", ""chinese"": ""我希望雨會停。""}]",停下,to cause to cease moving,Chinese Mandarin,0.6714,0.5914,0.8297,0.6714,9365,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15327,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Velykyi Burluk settlement hromada, Kupiansk Raion, Kharkiv Oblast, Ukraine, founded in 1751.",[],赫里霍里夫卡,"village in Velykyi Burluk, Kupiansk, Kharkiv, Ukraine",Chinese Mandarin,0.6687,0.5887,1.0000,0.2880,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
21303,novochervone,novochervone,proper noun,,新切爾沃內,"A village in Nyzhnia Duvanka settlement hromada, Svatove Raion, Luhansk Oblast, Ukraine, founded in 1690.",[],新切爾沃內,"village in Nyzhnia Duvanka, Svatove, Luhansk, Ukraine",Chinese Mandarin,0.6687,0.5887,1.0000,0.6687,1395162,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
6684,comb,comb,noun,C,梳子,A toothed implement for grooming the hair or (formerly) for keeping it in place.,"[{""english"": ""She put the comb in the drawer."", ""chinese"": ""她把梳子放在抽屉里面。""}]",捋仔；木梳；柴梳；梳子；篦；頭梳,toothed implement for grooming the hair,Chinese | Chinese Mandarin,0.6684,0.6684,0.2743,0.6684,8207,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
19541,meng,meng,proper noun,,孟,A Chinese surname from Mandarin.,[],孟,"Chinese surname ""孟""",Chinese,0.6623,0.6623,0.3683,0.6623,827432,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
67103,west,west,adjective,,西方的；西部的,in or from the west,"[{""english"": ""They live on the west coast."", ""chinese"": ""他們住在西部海岸。""}]",西,towards the west,Chinese Mandarin,0.6552,0.6552,0.7067,0.6552,3861,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66755,read,read,verb,I or T,閱讀；讀,"(transitive, or, intransitive) To look at and interpret letters or other information that is written.","[{""english"": ""You may have read this book already."", ""chinese"": ""你可能已經看過這本書。""}]",看；讀,to look at and interpret letters or other information,Chinese | Chinese Mandarin,0.6509,0.6509,0.7759,0.6509,5377,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15329,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Novomarivka rural hromada, Voznesensk Raion, Mykolaiv Oblast, Ukraine, founded in 1935.",[],赫里霍里夫卡,"village in Novomarivka, Voznesensk, Mykolaiv, Ukraine",Chinese Mandarin,0.6443,0.5643,1.0000,0.3197,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15333,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Bakhmach urban hromada, Nizhyn Raion, Chernihiv Oblast, Ukraine, founded 1650–1700.",[],赫里霍里夫卡,"village in Bakhmach, Nizhyn, Chernihiv, Ukraine",Chinese Mandarin,0.6412,0.5612,1.0000,0.3354,1423861,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
34629,zaozerne,zaozerne,proper noun,,扎奧澤爾內,"A village in Tavrychanka rural hromada, Kakhovka Raion, Kherson Oblast, Ukraine, founded in 1902.",[],扎奧澤爾內,"village in Tavrychanka, Kakhovka, Kherson, Ukraine",Chinese Mandarin,0.6404,0.5604,1.0000,0.3245,1428887,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
30163,sukha balka,sukha balka,proper noun,,蘇哈巴爾卡,"A village in Mostove rural hromada, Voznesensk Raion, Mykolaiv Oblast, Ukraine, founded in 1919.",[],蘇哈巴爾卡,"village in Mostove, Voznesensk, Mykolaiv, Ukraine",Chinese Mandarin,0.6391,0.5591,1.0000,0.6391,1389610,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18727,lysivka,lysivka,proper noun,,利西夫卡,"A village in Liutenka rural hromada, Myrhorod Raion, Poltava Oblast, Ukraine, founded in 1670.",[],利西夫卡,"village in Liutenka, Myrhorod, Poltava, Ukraine",Chinese Mandarin,0.6362,0.5562,1.0000,0.3120,1389712,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
4214,bread,bread,noun,C or U,面包,A foodstuff made by baking dough made from cereals.,[],麭；麵包,baked dough made from cereals,Chinese | Chinese Mandarin,0.6351,0.5551,1.0000,0.6351,7400,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
23003,perekip,perekip,proper noun,,佩雷基普,"A village in Valky urban hromada, Bohodukhiv Raion, Kharkiv Oblast, Ukraine, founded in 1643.",[],佩雷基普,"village in Valky, Bohodukhiv, Kharkiv, Ukraine",Chinese Mandarin,0.6348,0.5548,1.0000,0.6348,1418938,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18730,lysivtsi,lysivtsi,proper noun,,利西夫齊,"A village in Tovste settlement hromada, Chortkiv Raion, Ternopil Oblast, Ukraine, founded in 1418.",[],利西夫齊,"village in Tovste, Chortkiv, Ternopil, Ukraine",Chinese Mandarin,0.6269,0.5469,1.0000,0.6269,1389813,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
34627,zaozerne,zaozerne,proper noun,,扎奧焦爾諾耶,"A rural settlement, the administrative centre of Zaozerne selrada, Eupatoria Raion, the Crimea, Ukraine, founded in 1861.",[],扎奧澤爾內；扎奧焦爾諾耶,"rural settlement in Zaozerne, Eupatoria, Crimea, Ukraine",Chinese Mandarin,0.6251,0.5451,1.0000,0.4326,1428887,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
33119,verben,verben,proper noun,,韋爾邊,"A village in Demydivka settlement hromada, Dubno Raion, Rivne Oblast, Ukraine, founded in 1563.",[],韋爾邊,"village in Demydivka, Dubno, Rivne, Ukraine",Chinese Mandarin,0.6220,0.5420,1.0000,0.6220,576257,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
16161,inherit,inherit,verb,T,继承,"(transitive) To receive (property, a title, etc.), by legal succession or bequest after the previous owner's death.","[{""english"": ""Koniecpolski inherited some seven or eight villages from his father."", ""chinese"": ""科涅茨波尔斯基从他父亲那里继承约七八个村庄。""}]",繼承；继承,to receive property or a title by legal succession etc.,Chinese,0.6175,0.5375,0.9252,0.6175,19881,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66720,ball,ball,noun,C or U,球,"A solid or hollow sphere, or roughly spherical mass.","[{""english"": ""Throw the ball back to me."", ""chinese"": ""把球丟還給我。""}]",球,solid or hollow sphere,Chinese Mandarin,0.6133,0.5333,1.0000,0.3606,8270,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
31306,this,this,determiner,,這,The (thing) here (used in indicating something or someone nearby).,[],此；這,the (thing) here,Chinese Mandarin,0.6120,0.5320,1.0000,0.3342,3380,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66554,new,new,adjective,,新的；新近的,"recently made, created, discovered, or obtained","[{""english"": ""She bought a new computer yesterday."", ""chinese"": ""她昨天買了一部新電腦。""}]",新,recently made or created,Chinese | Chinese Mandarin,0.6053,0.6053,0.6053,0.6053,2066,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18222,lisivka,lisivka,proper noun,,利西夫卡,"A village in Andrushivka urban hromada, Berdychiv Raion, Zhytomyr Oblast, Ukraine, founded before 1906.",[],利西夫卡,"village in Andrushivka, Berdychiv, Zhytomyr, Ukraine",Chinese Mandarin,0.6052,0.5252,1.0000,0.6052,1389609,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66690,old,old,adjective,,老,"Of a living being, having lived for most of the expected years.","[{""english"": ""I am too old for this world."", ""chinese"": ""我對這個世界来說太老了。""}]",年老的；老；老年的,of a living being: having lived for relatively many years,Chinese Mandarin,0.6043,0.6043,0.4370,0.3752,8913,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
2731,ban,ban,noun,C,禁止,A prohibition.,"[{""english"": ""Germany is to ban employers from snooping on Facebook."", ""chinese"": ""德国将禁止雇主在脸书上偷窥。""}]",禁止,prohibition — see also prohibition,Chinese Mandarin,0.6033,0.5233,1.0000,0.6033,4986,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
17161,khudykivtsi,khudykivtsi,proper noun,,胡季基夫齊,"A village in Melnytsia-Podilska settlement hromada, Chortkiv Raion, Ternopil Oblast, Ukraine, first mentioned in 1410.",[],胡季基夫齊,"village in Melnytsia-Podilska, Chortkiv, Ternopil, Ukraine",Chinese Mandarin,0.6006,0.5206,1.0000,0.6006,1386277,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15323,hryhoriv,hryhoriv,proper noun,,格里戈里夫,"A village in Monastyryska urban hromada, Chortkiv Raion, Ternopil Oblast, Ukraine, first mentioned in 1454.",[],格里戈里夫,"village in Monastyryska, Chortkiv, Ternopil, Ukraine",Chinese Mandarin,0.5996,0.5196,1.0000,0.2725,1425083,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15332,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Polohy urban hromada, Polohy Raion, Zaporizhzhia Oblast, Ukraine, founded in 1789.",[],赫里霍里夫卡,"village in Polohy, Polohy, Zaporizhzhia, Ukraine",Chinese Mandarin,0.5988,0.5188,1.0000,0.2215,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
4757,buzen,buzen,proper noun,,豐前,"A city in Fukuoka Prefecture, Japan.",[],豐前,city in Japan,Chinese,0.5960,0.5160,1.0000,0.5960,1355574,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
19836,mimasaka,mimasaka,proper noun,,美作,"A city in Okayama Prefecture, Japan.",[],美作,city in Japan,Chinese,0.5960,0.5160,1.0000,0.5960,1354325,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
29630,stepnohirsk,stepnohirsk,proper noun,,斯泰普諾希爾斯克,"A rural settlement, the administrative centre of Stepnohirsk settlement hromada, Vasylivka Raion, Zaporizhzhia Oblast, Ukraine, founded in 1921.",[],斯泰普諾希爾斯克,"rural settlement in Stepnohirsk, Vasylivka, Zaporizhzhia, Ukraine",Chinese Mandarin,0.5938,0.5138,1.0000,0.5938,1416831,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
17012,kaga,kaga,proper noun,,加賀,"A city in Ishikawa Prefecture, Japan.",[],加賀,city in Japan,Chinese,0.5925,0.5125,1.0000,0.5925,1344798,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
21307,novyi vytkiv,novyi vytkiv,proper noun,,新維特基夫,"A village in Radekhiv urban hromada, Sheptytskyi Raion, Lviv Oblast, Ukraine, first mentioned in 1469.",[],新維特基夫,"village in Radekhiv, Sheptytskyi, Lviv, Ukraine",Chinese Mandarin,0.5923,0.5123,1.0000,0.5923,1389277,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66812,week,week,noun,C,週,A period of seven days beginning with Sunday or Monday.,"[{""english"": ""I'm going to Europe next week."", ""chinese"": ""我下週要去歐洲。""}]",星期；禮拜；週,period of seven days,Chinese | Chinese Mandarin,0.5922,0.5122,1.0000,0.5922,651,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15348,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Novooleksandrivka rural hromada, Zaporizhzhia Raion, Zaporizhzhia Oblast, Ukraine, founded in 1773.",[],赫里霍里夫卡,"village in Novooleksandrivka, Zaporizhzhia, Zaporizhzhia, Ukraine",Chinese Mandarin,0.5850,0.5050,1.0000,0.2240,1423863,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
16829,jilin,jilin,proper noun,,吉林,"A prefecture-level city of Jilin, China.",[],吉林,city in China,Chinese,0.5829,0.5029,1.0000,0.5829,86110,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15326,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Barvinkove urban hromada, Izium Raion, Kharkiv Oblast, Ukraine, founded by Mennonites in 1889.",[],赫里霍里夫卡,"village in Barvinkove, Izium, Kharkiv, Ukraine",Chinese Mandarin,0.5825,0.5025,1.0000,0.2137,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
16639,ivankiv,ivankiv,proper noun,,伊萬基夫,"A rural settlement, the administrative centre of Ivankiv settlement hromada, Vyshhorod Raion, Kyiv Oblast, Ukraine, founded in 1589.",[],伊萬基夫,"rural settlement in Ivankiv, Vyshhorod, Kyiv, Ukraine",Chinese Mandarin,0.5785,0.4985,1.0000,0.3237,1399791,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
16642,ivankiv,ivankiv,proper noun,,伊萬基夫,"A village in Oliivka rural hromada, Zhytomyr Raion, Zhytomyr Oblast, Ukraine, founded in 1633.",[],伊萬基夫,"village in Oliivka, Zhytomyr, Zhytomyr, Ukraine",Chinese Mandarin,0.5739,0.4939,1.0000,0.0976,1399791,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
20555,mykolaivske,mykolaivske,proper noun,,米科拉伊夫斯凱,"A village in Shevchenkove rural hromada, Mykolaiv Raion, Mykolaiv Oblast, Ukraine, founded in 1957.",[],米科拉伊夫斯凱,"village in Shevchenkove, Mykolaiv, Mykolaiv, Ukraine",Chinese Mandarin,0.5737,0.4937,1.0000,0.5737,1425774,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
20611,nanaimo,nanaimo,proper noun,,納奈莫,"A city on the east coast of Vancouver Island in British Columbia, Canada.",[],納奈莫,"city in British Columbia, Canada",Chinese,0.5735,0.4935,1.0000,0.5735,1081027,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66704,work,work,verb,I,工作,(intransitive) To do a specific task by employing physical or mental powers.,"[{""english"": ""I work even on Sunday."", ""chinese"": ""我甚至在週日工作。""}]",作穡；做工；工作；幹活兒,intransitive: to do a specific task,Chinese | Chinese Mandarin,0.5707,0.4907,0.8707,0.5707,1896,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
1861,armed,armed,adjective,,武裝的,"(sometimes, in combination) Equipped, especially with a weapon.",[],武裝的,"equipped, especially with a weapon",Chinese Mandarin,0.5676,0.5676,0.5676,0.5676,30525,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
21304,novoekonomichne,novoekonomichne,proper noun,,新埃科諾米奇內,"A rural settlement, the administrative centre of Novoekonomichne starostynskyi okruh, Hrodivka settlement hromada, Pokrovsk Raion, Donetsk Oblast, Ukraine, founded in 1768.",[],新埃科諾米奇內,"rural settlement in Novoekonomichne, Hrodivka, Pokrovsk, Donetsk, Ukraine",Chinese Mandarin,0.5670,0.4870,1.0000,0.5670,1419148,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
33891,where,where,adverb,,哪儿,"In, at or to the place (that) or a place (that).","[{""english"": ""Where are you?"", ""chinese"": ""你在哪儿?""}]",佗位；哪兒；哪裡；那兒；那裡,at or in which place,Chinese | Chinese Mandarin,0.5655,0.4855,1.0000,0.5655,7194,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18729,lysivka,lysivka,proper noun,,利西夫卡,"A village in Kornyn settlement hromada, Zhytomyr Raion, Zhytomyr Oblast, Ukraine, founded in 1810.",[],利西夫卡,"village in Kornyn, Zhytomyr, Zhytomyr, Ukraine",Chinese Mandarin,0.5652,0.4852,1.0000,0.2321,1389712,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15328,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village, the administrative centre of Prysyvashshia rural hromada, Kakhovka Raion, Kherson Oblast, Ukraine.",[],赫里霍里夫卡,"village in Prysyvashshia, Kakhovka, Kherson, Ukraine",Chinese Mandarin,0.5638,0.4838,1.0000,0.2598,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
33873,wheel,wheel,noun,C,轮子,"A circular device capable of rotating on its axis, facilitating movement or transportation or performing labour in machines.","[{""english"": ""Bad wheels will squeal a lot."", ""chinese"": ""坏的轮子会嘎嘎响很久。""}]",軲轆；輪；輪子；轔,a circular device facilitating movement or transportation,Chinese | Chinese Mandarin,0.5627,0.4827,1.0000,0.3723,15679,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
27314,see,see,verb,T,见,"(transitive) To perceive or detect someone or something with the eyes, or as if by sight.","[{""english"": ""I'm glad to see you back."", ""chinese"": ""很高兴再见到您。""}]",看見；見,perceive with the eyes,Chinese Mandarin,0.5534,0.4734,0.8626,0.5534,3021,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
16637,ivankiv,ivankiv,proper noun,,伊萬基夫,"A village in Boryspil urban hromada, Boryspil Raion, Kyiv Oblast, Ukraine, first mentioned in 1508.",[],伊萬基夫,"village in Boryspil, Boryspil, Kyiv, Ukraine",Chinese Mandarin,0.5492,0.4692,1.0000,0.2256,1399791,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
17698,law,law,noun,C or U,法律,"(usually with ""the"") The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities.",[],法律,body of rules established in a community by its authorities,Chinese | Chinese Mandarin,0.5486,0.4686,0.9821,0.5486,6067,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66927,love,love,noun,U,愛；愛情,a strong feeling of deep affection,"[{""english"": ""Their love grew stronger."", ""chinese"": ""他們的愛變得更深。""}]",情愛；愛；愛情,strong affection,Chinese | Chinese Mandarin,0.5420,0.5420,0.5420,0.5420,2113,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
20297,mother,mother,noun,C,母親,"A female parent, especially of a human; a female who parents a child (which she has given birth to, adopted, or fostered).","[{""english"": ""You should take care of your sick mother."", ""chinese"": ""你應該照顧你生病的母親。""}]",娘；娘親；媽；媽媽；母；母親；阿姆,"female (human) who parents a child, gives birth to a baby, or is pregnant",Chinese | Chinese Mandarin,0.5393,0.4593,0.9313,0.2890,3934,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15334,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Starokostiantyniv urban hromada, Khmelnytskyi Raion, Khmelnytskyi Oblast, Ukraine, first mentioned in 1647.",[],赫里霍里夫卡,"village in Starokostiantyniv, Khmelnytskyi, Khmelnytskyi, Ukraine",Chinese Mandarin,0.5379,0.4579,1.0000,0.2255,1423861,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
26612,ryzhivka,ryzhivka,proper noun,,雷日夫卡,"A village in Bilopillia urban hromada, Sumy Raion, Sumy Oblast, Ukraine, first mentioned in 1719.",[],雷日夫卡,"village in Bilopillia, Sumy, Sumy, Ukraine",Chinese Mandarin,0.5362,0.4562,1.0000,0.5362,1396362,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
17982,leyte,leyte,proper noun,,禮智,"An island of Eastern Visayas, Visayas, Philippines",[],禮智,island in the Philippines,Chinese,0.5326,0.4526,1.0000,0.5326,881249,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15322,hryhoriv,hryhoriv,proper noun,,格里戈里夫,"A village in Rohatyn urban hromada, Ivano-Frankivsk Raion, Ivano-Frankivsk Oblast, Ukraine, first mentioned in 1447.",[],格里戈里夫,"village in Rohatyn, Ivano-Frankivsk, Ivano-Frankivsk, Ukraine",Chinese Mandarin,0.5320,0.4520,1.0000,0.2010,1425083,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15324,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Bobrytsia rural hromada, Cherkasy Raion, Cherkasy Oblast, Ukraine, first mentioned in 1552.",[],赫里霍里夫卡,"village in Bobrytsia, Cherkasy, Cherkasy, Ukraine",Chinese Mandarin,0.5314,0.4514,1.0000,0.1927,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
18949,maliutianka,maliutianka,proper noun,,馬柳強卡,"A village, the administrative centre of Maliutianka starostynskyi okruh, Boiarka urban hromada, Fastiv Raion, Kyiv Oblast, Ukraine.",[],馬柳強卡,"village in Maliutianka, Boiarka, Fastiv, Kyiv, Ukraine",Chinese Mandarin,0.5314,0.4514,1.0000,0.5314,1399720,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15330,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Veselynove settlement hromada, Voznesensk Raion, Mykolaiv Oblast, Ukraine, founded a. 1946.",[],赫里霍里夫卡,"village in Novomarivka, Voznesensk, Mykolaiv, Ukraine",Chinese Mandarin,0.5276,0.4476,1.0000,0.1987,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15345,hryhorivka,hryhorivka,proper noun,,赫里霍里夫卡,"A village in Yelanets settlement hromada, Voznesensk Raion, Mykolaiv Oblast, Ukraine, founded in 1802.",[],赫里霍里夫卡,"village in Novomarivka, Voznesensk, Mykolaiv, Ukraine",Chinese Mandarin,0.5205,0.4405,0.8516,0.2009,1423860,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
66878,morning,morning,noun,C,早上,"The early part of the day, especially from midnight to noon. [from 13th c.]","[{""english"": ""Back in high school, I got up at 6 a.m. every morning."", ""chinese"": ""以前讀高中的時候﹐我每天早上六點起床。""}]",上午；早上；早晨,the part of the day after midnight and before midday — see also AM,Chinese Mandarin,0.5191,0.4391,0.9762,0.0945,1800,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
30164,sukha balka,sukha balka,proper noun,,蘇哈巴爾卡,"A village in Veselynove settlement hromada, Voznesensk Raion, Mykolaiv Oblast, Ukraine, founded in 1896.",[],蘇哈巴爾卡,"village in Mostove, Voznesensk, Mykolaiv, Ukraine",Chinese Mandarin,0.5188,0.4388,1.0000,0.5188,1389610,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
34630,zaozerne,zaozerne,proper noun,,扎奧澤爾涅,"A village in Ladyzhyn urban hromada, Haisyn Raion, Vinnytsia Oblast, Ukraine, founded in the early-seventeenth century.",[],扎奧澤爾涅,"village in Ladyzhyn, Haisyn, Vinnytsia, Ukraine",Chinese Mandarin,0.5163,0.4363,1.0000,0.2333,1428887,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
34671,zhvanets,zhvanets,proper noun,,日瓦內茨,"A village, the administrative centre of Zhvanets rural hromada, Kamianets-Podilskyi Raion, Khmelnytskyi Oblast, Ukraine, first mentioned in 1431.",[],日瓦內茨,"village in Zhvanets, Kamianets-Podilskyi, Khmelnytskyi, Ukraine",Chinese Mandarin,0.5156,0.4356,1.0000,0.5156,1325526,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
15667,iga,iga,proper noun,,伊賀,"A city in Mie Prefecture, central Japan.",[],伊賀,city in Japan,Chinese,0.5129,0.4329,1.0000,0.5129,815383,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
4728,butter,butter,noun,U,黃油,"A soft, fatty foodstuff made by churning the cream of milk (generally cow's milk).","[{""english"": ""The store sells foodstuffs, such as butter, cheese, and sugar."", ""chinese"": ""這家店賣黃油、奶酪、砂糖之類的食品。""}]",牛油；白脫；黃油,soft foodstuff made from milk,Chinese | Chinese Mandarin,0.5114,0.4314,1.0000,0.5114,7422,Kaikki English / English Wiktionary,CC BY-SA 4.0 / GFDL
