id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,chinese_terms,cedict_gloss_tokens,english_content_tokens,shared_tokens,semantic_reasons,priority
211,abyss,abyss,noun,C,无底洞,Moral depravity; vast intellectual or moral depth.,[],無底洞,bottomless,abyss | depravity | depth | intellectual | moral | vast,,no_lexical_support_in_cedict_gloss,review
214,ac,ac,noun,C,交流,(electricity) Initialism of alternating current (often used to indicate an alternating potential rather than a current).,[],交流,communication | contact | exchange | interaction | social,alternating | current | electricity | indicate | initialism | potential | rather | than,,no_lexical_support_in_cedict_gloss,review
216,academia,academia,noun,U,大学,"(collective) The scientific and cultural community engaged in higher education and research, taken as a whole. [from 1956]",[],大學,books | college | confucianism | four | great | learning | university,academia | collective | community | cultural | education | engaged | higher | research | scientific | taken | whole,,no_lexical_support_in_cedict_gloss,review
217,academia,academia,noun,U,大学,Continuous study at higher education institutions; scholarship.,[],大學,books | college | confucianism | four | great | learning | university,academia | continuous | education | higher | institutions | scholarship | study,,no_lexical_support_in_cedict_gloss,review
221,academic institution,academic institution,noun,C,大学,"An educational institution, dedicated to higher education and research, that grants academic degrees.",[],大學,books | college | confucianism | four | great | learning | university,academic | dedicated | degrees | education | educational | grants | higher | institution | research,,no_lexical_support_in_cedict_gloss,review
222,academician,academician,noun,C,学生,"(now, chiefly, US) A member (especially a senior one) of the faculty at a college or university; an academic. [from 17th c.]",[],學生,schoolchild | student,academic | academician | college | faculty | member | senior | university,,no_lexical_support_in_cedict_gloss,review
228,academy,academy,noun,C,神學院,(obsolete) The knowledge disseminated in an Academy. [Attested from the early 17th century until the mid 18th century.],[],神學院,seminary,academy | attested | century | disseminated | early | knowledge | obsolete | until,,no_lexical_support_in_cedict_gloss,review
232,accede,accede,verb,I,参加,"(archaic, intransitive) To approach; to arrive, to come forward. [15th–19th c.]",[],参加,join | part | participate | take,accede | approach | archaic | arrive | come | forward | intransitive,,no_lexical_support_in_cedict_gloss,review
245,accelerator,accelerator,noun,C,催化剂,(chemistry) A substance which speeds up chemical reactions.,[],催化剂,catalyst,accelerator | chemical | chemistry | reactions | speeds | substance,,no_lexical_support_in_cedict_gloss,review
253,acceptance,acceptance,noun,C or U,同化,The state of being accepted.,[],同化,assimilation | cultural | digestive | phonemic,acceptance | accepted | state,,no_lexical_support_in_cedict_gloss,review
254,acceptance,acceptance,noun,C or U,同意,"(law) An agreeing to the action, proposals, or terms of another by some act which results in the conclusion of a legally binding contract; the reception or taking of a thing bought as that for which it was bought, or as that agreed to be delivered, or the taking of possession of a thing as owner.",[],同意,agree | approve | consent,acceptance | action | agreed | agreeing | another | binding | bought | conclusion | contract | delivered | legally | owner | possession | proposals | reception | results | some | taking | terms | thing,,no_lexical_support_in_cedict_gloss,review
65711,access,access,noun,U,使用權；存取權,the right or ability to use or obtain something,"[{""english"": ""Students have free access to the library."", ""chinese"": ""學生可以免費使用圖書館。""}]",使用權,rights | usage,ability | access | obtain | right,,no_lexical_support_in_cedict_gloss,review
65712,access,access,noun,U,通道；進入途徑,a way of entering or reaching a place,"[{""english"": ""The road provides access to the village."", ""chinese"": ""這條道路提供進入村莊的通道。""}]",通道,channel | communications | passage | thoroughfare,access | entering | place | reaching,,no_lexical_support_in_cedict_gloss,review
272,acclamation,acclamation,noun,C or U,喝彩,"A shout of approbation, favor, or assent; eager expression of approval; loud applause.",[],喝彩,acclaim | cheer,acclamation | applause | approbation | approval | assent | eager | expression | favor | loud | shout,,no_lexical_support_in_cedict_gloss,review
273,acclimatization,acclimatization,noun,C or U,適應,"The act of acclimatizing; the process of inuring to a new climate, or the state of being so inured.",[],適應,adapt | suit,acclimatization | acclimatizing | climate | inured | inuring | process | state,,no_lexical_support_in_cedict_gloss,review
279,accompaniment,accompaniment,noun,C or U,伴奏,"(music) A part, usually performed by instruments, that gives support or adds to the background in music, or adds for ornamentation; also, the harmony of a figured bass.",[],伴奏,accompany | musically,accompaniment | adds | background | bass | figured | gives | harmony | instruments | music | ornamentation | part | performed | support,,no_lexical_support_in_cedict_gloss,review
280,accompaniment,accompaniment,noun,C or U,伴奏,"That which accompanies; something that attends as a circumstance, or which is added to give greater completeness to the principal thing, or by way of ornament, or for the sake of symmetry.",[],伴奏,accompany | musically,accompanies | accompaniment | added | attends | circumstance | completeness | give | greater | ornament | principal | sake | symmetry | thing,,no_lexical_support_in_cedict_gloss,review
284,accomplishment,accomplishment,noun,C or U,取得,The act of accomplishing; completion; fulfilment.,[],取得,acquire | obtain,accomplishing | accomplishment | completion | fulfilment,,no_lexical_support_in_cedict_gloss,review
285,accomplishment,accomplishment,noun,C or U,取得,Something accomplished; an achievement.,[],取得,acquire | obtain,accomplished | accomplishment | achievement,,no_lexical_support_in_cedict_gloss,review
290,accordingly,accordingly,adverb,,合适,(manner) Agreeably; correspondingly; suitably,[],合适,appropriate | fitting | suitable,accordingly | agreeably | correspondingly | manner | suitably,,no_lexical_support_in_cedict_gloss,review
293,accoucheur,accoucheur,noun,C,助產士,"(medicine) A person, especially a man, who delivers a baby (in childbirth).",[],助產士,midwife,accoucheur | baby | childbirth | delivers | medicine | person,,no_lexical_support_in_cedict_gloss,review
294,accoucheuse,accoucheuse,noun,C,姥姥,(rare) A midwife.,[],姥姥,coll | grandmother | maternal | mother,accoucheuse | midwife | rare,,no_lexical_support_in_cedict_gloss,review
300,accountable,accountable,adjective,,负责,"Obliged, when called upon, to answer (for one’s deeds); answerable.","[{""english"": ""Tom is accountable to me."", ""chinese"": ""汤姆要向我负责。""}]",负责,bear | charge | conscientious | responsibility | responsible,accountable | answer | answerable | called | deeds | obliged | upon,,no_lexical_support_in_cedict_gloss,review
301,accountable,accountable,adjective,,负责,Liable to be called on to render an account.,"[{""english"": ""Tom is accountable to me."", ""chinese"": ""汤姆要向我负责。""}]",负责,bear | charge | conscientious | responsibility | responsible,account | accountable | called | liable | render,,no_lexical_support_in_cedict_gloss,review
306,accounts receivable,accounts receivable,noun,C,进步,(accounting) The total monetary amount owed to a financial entity due to debts arising from sales on credit or on account.,[],進步,improve | improvement | progress,account | accounting | accounts | amount | arising | credit | debts | entity | financial | monetary | owed | receivable | sales | total,,no_lexical_support_in_cedict_gloss,review
308,accrue,accrue,verb,I,加剧,"(intransitive) To increase, to rise",[],加剧,intensify,accrue | increase | intransitive | rise,,no_lexical_support_in_cedict_gloss,review
310,accuracy,accuracy,noun,C or U,精度,The state of being accurate; being free from error; exactness; correctness,[],精度,precision,accuracy | accurate | correctness | error | exactness | free | state,,no_lexical_support_in_cedict_gloss,review
312,accurately,accurately,adverb,,认真,In an accurate manner; exactly; precisely; without error or defect.,[],認真,conscientious | earnest | heart | serious | seriously | take,accurate | accurately | defect | error | exactly | manner | precisely,,no_lexical_support_in_cedict_gloss,review
314,accusation,accusation,noun,C or U,谴责,(legal) A formal charge brought against a person in a court of law.,[],谴责,condemn | condemnation | criticism | criticize | denounce,accusation | against | brought | charge | court | formal | legal | person,,no_lexical_support_in_cedict_gloss,review
319,accuser,accuser,noun,C,原告,One who accuses; one who brings a charge of crime or fault.,[],原告,complainant | plaintiff,accuser | accuses | brings | charge | crime | fault,,no_lexical_support_in_cedict_gloss,review
321,ace,ace,noun,C,一点点,A very small quantity or degree; a particle; an atom; a jot.,[],一點點,little,atom | degree | particle | quantity | small,,no_lexical_support_in_cedict_gloss,review
322,ace up one's sleeve,ace up one's sleeve,noun,C,鬼牌,(idiom) A surprise advantage of which others are not aware.,[],鬼牌,card | joker | playing,advantage | aware | idiom | others | sleeve | surprise,,no_lexical_support_in_cedict_gloss,review
324,acerbic,acerbic,adjective,,粗糙,Tasting sour or bitter.,[],粗糙,coarse | crude | gruff | rough,acerbic | bitter | sour | tasting,,no_lexical_support_in_cedict_gloss,review
336,achieve,achieve,verb,T,创作,(transitive) To carry out successfully; to accomplish. [from 14th c.],[],创作,create | creation | creative | produce | work | write,accomplish | achieve | carry | successfully | transitive,,no_lexical_support_in_cedict_gloss,review
341,achievement,achievement,noun,C or U,成功,(video games) An award for completing a particular task or meeting an objective in a video game.,[],成功,chenggong | chengkung | county | dong | fruitful | southeast | succeed | success | successful | taitung | taiwan | town | xian,achievement | award | completing | game | games | meeting | objective | particular | task | video,,no_lexical_support_in_cedict_gloss,review
364,acknowledgment,acknowledgment,noun,C or U,谢谢,"The act of recognizing in a particular character or relationship; recognition of existence, authority, truth, or genuineness.",[],谢谢,thank | thanks,acknowledgment | authority | character | existence | genuineness | particular | recognition | recognizing | relationship | truth,,no_lexical_support_in_cedict_gloss,review
365,acknowledgment,acknowledgment,noun,C or U,谢谢,A reward or other expression or token of gratitude.,[],谢谢,thank | thanks,acknowledgment | expression | gratitude | reward | token,,no_lexical_support_in_cedict_gloss,review
366,acknowledgment,acknowledgment,noun,C or U,谢谢,An expression of gratitude for a benefit or an obligation.,[],谢谢,thank | thanks,acknowledgment | benefit | expression | gratitude | obligation,,no_lexical_support_in_cedict_gloss,review
374,acqua alta,acqua alta,noun,U,大水,"A phenomenon that regularly occurs in the city of Venice, Italy, typically during high and spring tide, involving the flooding of the most low-lying areas of Venice.",[],大水,flood,acqua | alta | areas | city | during | flooding | high | involving | italy | low-lying | occurs | phenomenon | regularly | spring | tide | typically | venice,,no_lexical_support_in_cedict_gloss,review
376,acquaintance,acquaintance,noun,C,朋友,A person or persons with whom one is acquainted. [from 14th c.],"[{""english"": ""She is more of an acquaintance than a friend."", ""chinese"": ""与其说她是我的朋友，不如说她只是一个我认识的人。""}]",朋友,friend,acquaintance | acquainted | person | persons | whom,,no_lexical_support_in_cedict_gloss,review
377,acquiescence,acquiescence,noun,C or U,默认,"A silent or passive assent or submission, or a submission with apparent consent, distinguished from avowed consent on the one hand, and on the other, from opposition or open discontent; quiet satisfaction.",[],默認,agree | approval | default | setting | tacit | tacitly,acquiescence | apparent | assent | avowed | consent | discontent | distinguished | hand | open | opposition | passive | quiet | satisfaction | silent | submission,,no_lexical_support_in_cedict_gloss,review
378,acquiescent,acquiescent,adjective,,溫順,resting satisfied or submissive; disposed tacitly to submit,[],溫順,docile | meek,acquiescent | disposed | resting | satisfied | submissive | submit | tacitly,,no_lexical_support_in_cedict_gloss,review
379,acquire,acquire,verb,T,獲得,"(transitive) To gain, usually by one's own exertions; to get as one's own.",[],獲得,obtain | receive,acquire | exertions | gain | transitive,,no_lexical_support_in_cedict_gloss,review
381,acquisition,acquisition,noun,C or U,獲得,The act or process of acquiring.,[],獲得,obtain | receive,acquiring | acquisition | process,,no_lexical_support_in_cedict_gloss,review
382,acquisition,acquisition,noun,C or U,獲得,The thing acquired or gained; a gain.,[],獲得,obtain | receive,acquired | acquisition | gain | gained | thing,,no_lexical_support_in_cedict_gloss,review
383,acquittal,acquittal,noun,C or U,赦免,"(legal) A legal decision that someone is not guilty with which they have been charged, or the formal dismissal of a charge by some other legal process. [from 15th c.]",[],赦免,absolve | exempt | pardon | punishment,acquittal | been | charge | charged | decision | dismissal | formal | guilty | legal | process | some,,no_lexical_support_in_cedict_gloss,review
388,acrimonious,acrimonious,adjective,,粗糙,"(figuratively) Angry, acid, and sharp in delivering argumentative replies: bitter, mean-spirited, sharp in language or tone. [from early 17th c.]",[],粗糙,coarse | crude | gruff | rough,acid | acrimonious | angry | argumentative | bitter | delivering | early | figuratively | language | mean-spirited | replies | sharp | tone,,no_lexical_support_in_cedict_gloss,review
66452,across,across,preposition,,從一邊到另一邊；橫過,from one side of a place or area to the other,"[{""english"": ""They walked across the bridge."", ""chinese"": ""他們橫過大橋。""}]",橫過,traverse,across | area | place | side,,no_lexical_support_in_cedict_gloss,review
409,act of god,act of god,noun,C,不可抗力,"(legal) An unforeseen occurrence beyond one's control, such as a natural disaster.",[],不可抗力,force | majeure,beyond | control | disaster | legal | natural | occurrence | unforeseen,,no_lexical_support_in_cedict_gloss,review
412,acting,acting,noun,U,表演,"(uncountable, drama) The occupation of an actor.",[],表演,chang | demonstrate | exhibition | perform | performance | play | show,acting | actor | drama | occupation | uncountable,,no_lexical_support_in_cedict_gloss,review
415,actinoid,actinoid,noun,C,锕系元素,(inorganic chemistry) actinide,[],锕系元素,actinium | actinoids | americium | berkelium | californium | curium | earth | einsteinium | fermium | lawrencium | mendelevium | namely | neptunium | nobelium | plutonium | protoactinium | rare | series | thorium | uranium,actinide | actinoid | chemistry | inorganic,,no_lexical_support_in_cedict_gloss,review
427,active,active,adjective,,活动,Brisk; lively.,"[{""english"": ""The volcano has become active again."", ""chinese"": ""這座火山又開始活動了。""}]",活動,activity | bribes | campaign | capital | connections | economic | event | exercise | flexible | influence | liquid | loose | maneuver | military | movable | move | outdoor | personal | political | seismic | shaky | tooth | unsteady | volcanic | work | xiang,active | brisk | lively,,no_lexical_support_in_cedict_gloss,review
436,actual,actual,adjective,,有效,"Existing in reality, not just potentially; really acted or acting; occurring in fact. [from 14th c.]","[{""english"": ""Preventive measures are much more effective than the actual treatment."", ""chinese"": ""预防措施比真正的治疗更有效。""}]",有效,effect | effective | valid,acted | acting | actual | existing | fact | just | occurring | potentially | reality | really,,no_lexical_support_in_cedict_gloss,review
440,actuate,actuate,verb,T,移动,(transitive) To incite to action; to motivate.,[],移動,migration | mobile | move | movement | portable,action | actuate | incite | motivate | transitive,,no_lexical_support_in_cedict_gloss,review
452,ad infinitum,ad infinitum,adverb,,无限制,Endlessly; for ever; neverendingly.,[],無限制,limitless | unrestricted,endlessly | ever | infinitum | neverendingly,,no_lexical_support_in_cedict_gloss,review
460,adapt,adapt,verb,I,同化,(intransitive) To make oneself comfortable to a new thing.,[],同化,assimilation | cultural | digestive | phonemic,adapt | comfortable | intransitive | make | oneself | thing,,no_lexical_support_in_cedict_gloss,review
461,adaptive,adaptive,adjective,,适应性,"Of, pertaining to, characterized by or showing adaptation; making or made fit or suitable.",[],适應性,adaptability | flexibility,adaptation | adaptive | characterized | made | making | pertaining | showing | suitable,,no_lexical_support_in_cedict_gloss,review
462,adaptive,adaptive,adjective,,适应性,(psychology) Of a trait: that helps an individual to function well in society.,[],适應性,adaptability | flexibility,adaptive | function | helps | individual | psychology | society | trait | well,,no_lexical_support_in_cedict_gloss,review
478,adenoid,adenoid,noun,C,扁桃,"(symptom) an abnormally enlarged mass of lymphatic tissue at the back of the pharynx, often obstructing the nasal and ear passages and hindering speaking and breathing in young children.",[],扁桃,almond | flat | peach | tree,abnormally | adenoid | back | breathing | children | enlarged | hindering | lymphatic | mass | nasal | obstructing | passages | pharynx | speaking | symptom | tissue | young,,no_lexical_support_in_cedict_gloss,review
483,adept,adept,noun,C,大家,One fully skilled or well versed in anything; a proficient,[],大家,everyone | expert | family | great | influential,adept | anything | fully | proficient | skilled | versed | well,,no_lexical_support_in_cedict_gloss,review
484,adequate,adequate,adjective,,適當,Equal to or fulfilling some requirement.,[],適當,appropriate | suitable,adequate | equal | fulfilling | requirement | some,,no_lexical_support_in_cedict_gloss,review
486,adherent,adherent,adjective,,貼紙,"Adhesive, sticking to something.",[],貼紙,sticker,adherent | adhesive | sticking,,no_lexical_support_in_cedict_gloss,review
487,adherent,adherent,noun,C,会员,"A person who has membership in some group, association or religion.",[],會員,member,adherent | association | group | membership | person | religion | some,,no_lexical_support_in_cedict_gloss,review
500,adjourn,adjourn,verb,I,延緩,"(intransitive, formal, uncommon) To move as a group from one place to another.",[],延緩,defer | down | postpone | retard | slow,adjourn | another | formal | group | intransitive | move | place | uncommon,,no_lexical_support_in_cedict_gloss,review
501,adjudicate,adjudicate,verb,T,审判,"(transitive) To decide, rule on, or settle as a judge.",[],审判,trial,adjudicate | decide | judge | rule | settle | transitive,,no_lexical_support_in_cedict_gloss,review
502,adjudication,adjudication,noun,C or U,审判,A judgment or sentence.,[],审判,trial,adjudication | judgment | sentence,,no_lexical_support_in_cedict_gloss,review
504,adjunct,adjunct,noun,C,属性,An appendage; something attached to something else in a subordinate capacity.,[],属性,attribute | property,adjunct | appendage | attached | capacity | else | subordinate,,no_lexical_support_in_cedict_gloss,review
