id,word,normalized_word,part_of_speech,countability,zh_definition,en_definition,examples_json,suggested_chinese,cedict_gloss,match_score,score_margin,source_line,source,license
28515,smite,smite,verb,T,重擊；猛打（古語）,(archaic) To hit; to strike.,[],摮,(archaic) to hit; to strike; to smite,0.7730,0.7730,48988,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21308,now,now,adverb,,现在,At the present time.,[],今天,the present time; now,0.7676,0.3676,6132,CC-CEDICT 2026-06-22,CC BY-SA 4.0
28591,snivel,snivel,noun,C,泗,Nasal mucus; snot.,[],鼻涕,nasal mucus; snivel; snot,0.7676,0.7076,124648,CC-CEDICT 2026-06-22,CC BY-SA 4.0
20657,nasa,nasa,proper noun,,太空總署,Acronym of National Aeronautics and Space Administration.,[],美國太空總署,NASA (National Aeronautics and Space Administration),0.7574,0.1600,87816,CC-CEDICT 2026-06-22,CC BY-SA 4.0
10754,erie,erie,proper noun,,伊利湖,"Lake Erie, one of the Great Lakes of North America.",[],伊利湖,"Lake Erie, one of the Great Lakes 五大湖[Wu3 da4 hu2]",0.7569,0.7569,6748,CC-CEDICT 2026-06-22,CC BY-SA 4.0
30553,syracuse,syracuse,proper noun,,锡拉库萨,Syracuse University (in New York),[],雪城,"Syracuse, New York",0.7396,0.4591,116506,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66911,true,true,adjective,,真正的；名副其實的,real or genuine,"[{""english"": ""She is a true friend."", ""chinese"": ""她是真正的朋友。""}]",真的,real; true; genuine,0.7188,0.1094,78295,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21721,olympics,olympics,proper noun,,奥运会,The Olympic Games.,"[{""english"": ""He's watching the Olympics."", ""chinese"": ""他在看奥运会。""}]",奧林匹克運動會,Olympic Games; the Olympics,0.7137,0.1243,29788,CC-CEDICT 2026-06-22,CC BY-SA 4.0
315,accusative,accusative,noun,C,宾格,(grammar) The accusative case.,[],賓格,accusative case (grammar),0.7125,0.7125,103621,CC-CEDICT 2026-06-22,CC BY-SA 4.0
25937,respect,respect,verb,T,尊重,To have respect for.,[],看得起,to show respect for,0.7105,0.0520,78168,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21836,opec,opec,proper noun,,歐佩克,Acronym of w:Organization of Petroleum Exporting Countries.,[],石油輸出國組織,Organization of Petroleum Exporting Countries (OPEC),0.7083,0.6761,79161,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66987,join,join,verb,I or T,加入,to become a member of a group,"[{""english"": ""She joined the club."", ""chinese"": ""她加入了俱樂部。""}]",入伙,to join a group; to become a member,0.7054,0.1493,11008,CC-CEDICT 2026-06-22,CC BY-SA 4.0
11839,final,final,adjective,,最後,Last; ultimate.,[],最後,final; last; ultimate,0.7031,0.2679,54623,CC-CEDICT 2026-06-22,CC BY-SA 4.0
20695,nato,nato,proper noun,,北约,Acronym of North Atlantic Treaty Organization,[],北大西洋公約組織,"North Atlantic Treaty Organization, NATO",0.7024,0.3224,16278,CC-CEDICT 2026-06-22,CC BY-SA 4.0
4901,calgary,calgary,proper noun,,卡爾加里,"The largest city in Alberta, Canada.",[],卡爾加里,"Calgary, largest city of Alberta, Canada",0.7014,0.7014,17521,CC-CEDICT 2026-06-22,CC BY-SA 4.0
33846,wether,wether,noun,C,公羊,A castrated ram.,[],羯羊,wether (castrated ram),0.7000,0.7000,88122,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21654,okayama,okayama,proper noun,,岡山,A prefecture of Japan.,[],岡山,Okayama (prefecture in Japan),0.6979,0.6979,35839,CC-CEDICT 2026-06-22,CC BY-SA 4.0
17411,kyoto,kyoto,proper noun,,京都,A prefecture of Japan.,"[{""english"": ""Kyoto is worth visiting."", ""chinese"": ""京都值得游览。""}]",京都府,Kyoto (prefecture in Japan),0.6957,0.3832,5620,CC-CEDICT 2026-06-22,CC BY-SA 4.0
18342,lobster,lobster,noun,C or U,龙虾,A slipper lobster (a crustacean of the family Scyllaridae).,[],蟬蝦,slipper lobster (family Scyllaridae),0.6889,0.3991,97544,CC-CEDICT 2026-06-22,CC BY-SA 4.0
5890,chiapas,chiapas,proper noun,,恰帕斯,A state of Mexico.,[],恰帕斯州,"Chiapas, state in Mexico",0.6875,0.6875,42013,CC-CEDICT 2026-06-22,CC BY-SA 4.0
31749,tote,tote,noun,C,口袋,A tote bag.,[],托特,(loanword) tote (bag),0.6852,0.6852,44972,CC-CEDICT 2026-06-22,CC BY-SA 4.0
9815,drizzle,drizzle,noun,C or U,蒙蒙细雨,Light rain.,[],毛毛雨,drizzle; light rain,0.6786,0.1647,61628,CC-CEDICT 2026-06-22,CC BY-SA 4.0
25740,remote,remote,noun,C,遥控器,Ellipsis of remote control.,"[{""english"": ""The TV remote control is under the couch."", ""chinese"": ""电视遥控器在沙发下面。""}]",遙控器,a remote control,0.6786,0.3348,108774,CC-CEDICT 2026-06-22,CC BY-SA 4.0
28541,snack,snack,noun,C,小吃,A light meal.,[],輕食,light meal; snack,0.6786,0.5489,106153,CC-CEDICT 2026-06-22,CC BY-SA 4.0
17880,lenin,lenin,proper noun,,列寧,"Vladimir Ilyich Lenin, a Russian revolutionary and politician.",[],列寧,"Vladimir Ilyich Lenin (1870-1924), Russian revolutionary leader",0.6778,0.4214,13855,CC-CEDICT 2026-06-22,CC BY-SA 4.0
11544,fatigued,fatigued,adjective,,疲倦,Tired; weary.,[],倦,tired; weary; fatigued,0.6774,0.4098,8891,CC-CEDICT 2026-06-22,CC BY-SA 4.0
2920,basseterre,basseterre,proper noun,,巴斯特尔,The capital city of Saint Kitts and Nevis.,[],巴斯特爾,"Basseterre, capital of Saint Kitts and Nevis",0.6771,0.6771,36866,CC-CEDICT 2026-06-22,CC BY-SA 4.0
9149,dinner,dinner,noun,C or U,晚餐,An evening meal.,"[{""english"": ""What time is dinner?"", ""chinese"": ""晚餐是幾點？""}]",晚餐,evening meal; dinner,0.6765,0.4775,53595,CC-CEDICT 2026-06-22,CC BY-SA 4.0
10286,elderly,elderly,noun,C,老人,(uncommon) An elderly person.,"[{""english"": ""Keep these seats for the elderly."", ""chinese"": ""把这些座位留给老人。""}]",艾老,elderly person,0.6750,0.2321,92919,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67260,rain,rain,verb,I,下雨,to fall as rain,"[{""english"": ""It may rain tonight."", ""chinese"": ""今晚可能會下雨。""}]",喜雨,welcome fall of rain,0.6714,0.0398,22653,CC-CEDICT 2026-06-22,CC BY-SA 4.0
14605,headband,headband,noun,C,头带,A strip of fabric worn around the head.,[],一字巾,headband; strip of cloth worn around the head,0.6700,0.5738,548,CC-CEDICT 2026-06-22,CC BY-SA 4.0
33805,welsh,welsh,noun,C or U,威爾士語,The Welsh language. [from 10th c.],[],威爾士語,Welsh (language),0.6667,0.6667,30730,CC-CEDICT 2026-06-22,CC BY-SA 4.0
16270,instruction,instruction,noun,C,指令,An order or command.,[],指令,an order; a command; an instruction,0.6635,0.5614,46834,CC-CEDICT 2026-06-22,CC BY-SA 4.0
17106,keratitis,keratitis,noun,C or U,角膜炎,(disease) Inflammation of the cornea.,[],角膜炎,keratitis (inflammation of the cornea),0.6571,0.6571,99982,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34532,yesterday,yesterday,adverb,,昨日,On the day before today.,[],前天,the day before yesterday,0.6521,0.1777,14454,CC-CEDICT 2026-06-22,CC BY-SA 4.0
18704,luzon,luzon,proper noun,,呂宋,The largest island of the Philippines.,[],硫球,"Luzon, island of the Philippines",0.6485,0.2194,79592,CC-CEDICT 2026-06-22,CC BY-SA 4.0
19942,misfortune,misfortune,noun,C or U,事故,Bad luck.,[],蹇運,misfortune; bad luck,0.6481,0.5964,105293,CC-CEDICT 2026-06-22,CC BY-SA 4.0
18991,manama,manama,proper noun,,麦纳麦,"A city, the capital city of Bahrain.",[],麥納麥,"Manama, capital city of Bahrain",0.6453,0.1758,123452,CC-CEDICT 2026-06-22,CC BY-SA 4.0
8688,delight,delight,noun,C or U,欢乐,Joy; pleasure.,[],樂趣,delight; pleasure; joy,0.6406,0.5089,59026,CC-CEDICT 2026-06-22,CC BY-SA 4.0
19194,mars,mars,proper noun,,戰神,(Roman god) The Roman god of war.,[],馬爾斯,Mars (Roman God of War),0.6363,0.3953,120584,CC-CEDICT 2026-06-22,CC BY-SA 4.0
8270,dalmatia,dalmatia,proper noun,,達爾馬提亞,"A historical region of Croatia, on the eastern coast of the Adriatic Sea.",[],達爾馬提亞,"Dalmatia, Croatian region on the eastern coast of Adriatic Sea",0.6318,0.6318,108706,CC-CEDICT 2026-06-22,CC BY-SA 4.0
23262,phosphate,phosphate,noun,C or U,磷酸鹽,(chemistry) Any salt or ester of phosphoric acid.,[],磷酸鹽,phosphate (salt or ester of phosphoric acid),0.6274,0.4966,80120,CC-CEDICT 2026-06-22,CC BY-SA 4.0
13957,grenada,grenada,proper noun,,格林纳达,An island and country in the Caribbean.,[],格瑞那達,"Grenada, island country in the Caribbean Sea (Tw)",0.6250,0.5391,57557,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21613,offside,offside,noun,C,越位,(sports) An offside play.,"[{""english"": ""Messi was very close to scoring a goal, but the referee blew his whistle to say that he was offside."", ""chinese"": ""梅西差一点就进球了，但裁判吹哨说他越位。""}]",越位,offside (sports),0.6250,0.6250,104562,CC-CEDICT 2026-06-22,CC BY-SA 4.0
15670,ignite,ignite,verb,T,點火,"(transitive) to set fire to (something), to light (something)",[],燃點,to ignite; to set fire to; to light,0.6167,0.3246,70842,CC-CEDICT 2026-06-22,CC BY-SA 4.0
11972,fitting,fitting,adjective,,宜,Appropriate; suitable.,[],合適,suitable; fitting; appropriate,0.6146,0.5263,19866,CC-CEDICT 2026-06-22,CC BY-SA 4.0
10566,enjoy,enjoy,verb,T,享受,(transitive) To have the use or benefit of something.,[],享用,to enjoy (i.e. have the use or benefit of),0.6129,0.3838,5579,CC-CEDICT 2026-06-22,CC BY-SA 4.0
31420,thyroid,thyroid,adjective,,甲状腺,"(anatomy) Of, relating to, or being the thyroid gland.",[],甲狀腺,(anatomy) thyroid gland,0.6000,0.2284,74797,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67172,ice,ice,noun,U,冰,frozen water,"[{""english"": ""The lake was covered with ice."", ""chinese"": ""湖面覆蓋著冰。""}]",水冰,water ice (i.e. frozen H2O),0.5972,0.3037,62207,CC-CEDICT 2026-06-22,CC BY-SA 4.0
10593,enter,enter,noun,C,回車鍵,"The ""Enter"" key on a computer keyboard.",[],回車,"the ""Enter"" key",0.5827,0.0916,24024,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34618,zaire,zaire,proper noun,,薩伊,(historical) Former name of the Democratic Republic of the Congo: a country in Central Africa; used from 1971–1997.,[],扎伊爾,"Zaire, former name of the Democratic Republic of the Congo",0.5811,0.5811,44548,CC-CEDICT 2026-06-22,CC BY-SA 4.0
19993,miyazaki,miyazaki,proper noun,,宮崎市,"The capital city of Miyazaki Prefecture, Japan.",[],宮崎,Miyazaki (prefecture and city in Japan),0.5810,0.4003,32745,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12176,flu,flu,noun,U,流行性感冒,Influenza.,[],流感,flu; influenza,0.5795,0.1972,64899,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21041,niigata,niigata,proper noun,,新潟,"The capital city of Niigata Prefecture, Japan.",[],新潟,Niigata (prefecture and city in Japan),0.5786,0.1382,51964,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21811,online,online,adverb,,网上,"While online; while in a running or active state, or connected to the Internet.","[{""english"": ""He found out this information online."", ""chinese"": ""他是在网上发现这个信息的。""}]",在線,online; connected to the Internet,0.5767,0.3646,24974,CC-CEDICT 2026-06-22,CC BY-SA 4.0
17063,kashiwazaki,kashiwazaki,proper noun,,柏崎,"A city in Niigata Prefecture, Japan.",[],柏崎,"Kashiwazaki, town in Niigata prefecture, Japan",0.5737,0.1666,56909,CC-CEDICT 2026-06-22,CC BY-SA 4.0
19555,mention,mention,verb,T,提起,To make a short reference to something.,"[{""english"": ""She never mentioned she had a sister."", ""chinese"": ""她从没提起过她有姐妹。""}]",論及,to make reference to; to mention,0.5707,0.4590,101600,CC-CEDICT 2026-06-22,CC BY-SA 4.0
22426,panda,panda,noun,C,熊貓,"(colloquial, also, attributively) Ellipsis of giant panda (“Ailuropoda melanoleuca”). [from 19th c.]",[],大熊貓,giant panda (Ailuropoda melanoleuca),0.5702,0.3637,28222,CC-CEDICT 2026-06-22,CC BY-SA 4.0
27609,seville,seville,proper noun,,塞维利亚,"The capital city of Andalusia, Spain.",[],塞維利亞,"Seville, city in Andalusia, Spain",0.5644,0.5644,26442,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66954,bear,bear,verb,T,生育；結出,to give birth to or produce,"[{""english"": ""The tree bears fruit in summer."", ""chinese"": ""這棵樹在夏天結出果實。""}]",生育,to give birth to; to bear,0.5613,0.0418,74502,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12081,flevoland,flevoland,proper noun,,弗莱福兰省,A province of the Netherlands.,[],弗萊福蘭,"Flevoland, province in Netherlands",0.5605,0.5605,39171,CC-CEDICT 2026-06-22,CC BY-SA 4.0
3428,bihar,bihar,proper noun,,比哈尔邦,A state in eastern India. Capital: Patna.,[],比哈爾邦,"Bihar, state in eastern India",0.5568,0.5568,61505,CC-CEDICT 2026-06-22,CC BY-SA 4.0
9078,different,different,adjective,,不同,Not the same; exhibiting a difference.,"[{""english"": ""Management of a company is different from ownership of a company."", ""chinese"": ""管理一家公司和擁有一家公司是捷然不同的。""}]",兩樣,not the same; different,0.5560,0.2752,11538,CC-CEDICT 2026-06-22,CC BY-SA 4.0
22075,ouagadougou,ouagadougou,proper noun,,瓦加杜古,The capital city of Burkina Faso.,[],瓦加杜古,"Ouagadougou, capital of Burkina Faso",0.5541,0.5541,74007,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12482,forum,forum,noun,C,論壇,A place for discussion.,[],論壇,forum (for discussion),0.5536,0.2345,101601,CC-CEDICT 2026-06-22,CC BY-SA 4.0
1276,andes,andes,proper noun,,安地斯山脈,Synonym of Andes Mountains.,[],安地斯,the Andes mountains,0.5528,0.1737,31992,CC-CEDICT 2026-06-22,CC BY-SA 4.0
13608,gold,gold,adjective,,金,Made of gold.,[],黃金屋,lit. house made of gold,0.5515,0.0515,123847,CC-CEDICT 2026-06-22,CC BY-SA 4.0
13799,grandma,grandma,noun,C,奶奶,(informal) Grandmother.,"[{""english"": ""We're worried about Grandma and Grandpa."", ""chinese"": ""我们担心着爷爷和奶奶。""}]",奶奶,(informal) grandma (paternal grandmother),0.5504,0.4254,30001,CC-CEDICT 2026-06-22,CC BY-SA 4.0
2821,bare,bare,adjective,,裸体,"Naked, uncovered.",[],裸露,naked; bare; uncovered; exposed,0.5494,0.4328,98882,CC-CEDICT 2026-06-22,CC BY-SA 4.0
24987,quebec,quebec,proper noun,,魁北克,A province in eastern Canada. Capital: Quebec City. Largest city: Montreal.,[],魁北克市,"Quebec city, capital of Quebec province of Canada",0.5493,0.0843,122197,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12431,formal,formal,adjective,,官方,Official.,[],正式,formal; official,0.5489,0.1656,60417,CC-CEDICT 2026-06-22,CC BY-SA 4.0
14007,groan,groan,verb,I,呵责,To make a groan.,[],哼,to groan,0.5489,0.0489,21893,CC-CEDICT 2026-06-22,CC BY-SA 4.0
16979,just,just,adverb,,準確,"Exactly, precisely, perfectly.",[],恰恰,exactly; just; precisely,0.5485,0.3193,42014,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66653,list,list,verb,T,列出；列入清單,to write or include items in a list,"[{""english"": ""The guide lists several local restaurants."", ""chinese"": ""指南列出了幾間本地餐廳。""}]",列入,to include on a list,0.5477,0.0782,13846,CC-CEDICT 2026-06-22,CC BY-SA 4.0
25562,referee,referee,verb,I,决定,To act as a referee.,[],批閱,to referee,0.5474,0.0378,45193,CC-CEDICT 2026-06-22,CC BY-SA 4.0
22035,osaka,osaka,proper noun,,大阪,"The capital city of Osaka Prefecture, Japan.",[],大阪府,"Osaka Prefecture, Japan",0.5469,0.0571,28562,CC-CEDICT 2026-06-22,CC BY-SA 4.0
3841,bochum,bochum,proper noun,,波鴻,A city in western Germany.,[],波鴻,Bochum (city in Germany),0.5452,0.5452,64152,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67968,firm,firm,noun,C,公司；商行,a business or company,"[{""english"": ""He works for a law firm."", ""chinese"": ""他在一間律師行工作。""}]",事業單位,(Tw) business enterprise; company; firm,0.5446,0.2108,4684,CC-CEDICT 2026-06-22,CC BY-SA 4.0
3371,bezeklik,bezeklik,proper noun,,柏孜克里克,"A village in Turpan, China, where the Bezeklik Thousand Buddha Caves are",[],柏孜克里克千佛洞,"the Bezeklik Thousand Buddha Caves, in the Turpan Basin, Xinjiang",0.5444,0.5444,56908,CC-CEDICT 2026-06-22,CC BY-SA 4.0
21655,okayama,okayama,proper noun,,岡山,"The capital city of Okayama Prefecture, Japan.","[{""english"": ""I've never been beyond Okayama."", ""chinese"": ""我從來沒到過比岡山更遠的地方。""}]",岡山,Okayama (prefecture in Japan),0.5440,0.5440,35839,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66498,flush,flush,noun,C,同花,a poker hand in which all the cards are of the same suit,"[{""english"": ""She won the game with a flush."", ""chinese"": ""她以同花贏了這局牌。""}]",清一色,(mahjong) flush; a complete hand where all tiles are of the same suit,0.5430,0.4133,66364,CC-CEDICT 2026-06-22,CC BY-SA 4.0
1595,apparel,apparel,noun,U,衣服；服裝,Clothing.,[],穿戴,clothing; apparel,0.5417,0.4524,82124,CC-CEDICT 2026-06-22,CC BY-SA 4.0
2043,aspic,aspic,noun,C or U,肉冻,A meat or fish jelly.,[],肉凍,aspic; meat jelly,0.5417,0.2071,89692,CC-CEDICT 2026-06-22,CC BY-SA 4.0
19969,mistake,mistake,noun,C,錯誤,An error.,"[{""english"": ""You made the same mistake as last time."", ""chinese"": ""你犯了跟上次相同的錯誤。""}]",迷誤,mistake; error,0.5417,0.0476,107111,CC-CEDICT 2026-06-22,CC BY-SA 4.0
24349,prison,prison,noun,C or U,狱,Confinement in prison.,"[{""english"": ""Life in prison is worse than the life of an animal."", ""chinese"": ""监狱生活比做畜牲还不如。""}]",坐班房,to be in prison,0.5417,0.0417,25371,CC-CEDICT 2026-06-22,CC BY-SA 4.0
14486,harmony,harmony,noun,C or U,和声,"A pleasing combination of elements, or arrangement of sounds.",[],和音,harmony (pleasing combination of sounds),0.5399,0.4442,21317,CC-CEDICT 2026-06-22,CC BY-SA 4.0
5073,canthus,canthus,noun,C,眼角,"(anatomy) Either corner of the eye, where the eyelids meet.",[],眥,(anatomy) corner of the eye; canthus,0.5398,0.0814,78343,CC-CEDICT 2026-06-22,CC BY-SA 4.0
13139,gelderland,gelderland,proper noun,,海尔德兰省,A province of The Netherlands with Arnhem as capital.,[],海爾德蘭,"Gelderland, province of the Netherlands",0.5361,0.5361,65386,CC-CEDICT 2026-06-22,CC BY-SA 4.0
23624,plaza,plaza,noun,C,广场,A town's public square.,[],廣場,public square; plaza,0.5335,0.4574,38710,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34582,youngster,youngster,noun,C,孩子,A young person.,[],小年輕,(coll.) young person; youngster,0.5335,0.2178,34532,CC-CEDICT 2026-06-22,CC BY-SA 4.0
5816,cheerful,cheerful,adjective,,明,Bright and pleasant.,[],明朗,bright and cheerful,0.5329,0.2693,52983,CC-CEDICT 2026-06-22,CC BY-SA 4.0
18609,lucerne,lucerne,proper noun,,卢塞恩,"The capital city of Lucerne canton, Switzerland.",[],盧塞恩,Lucerne (city in Switzerland),0.5325,0.3415,77594,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34361,worth,worth,noun,C or U,价值,Value.,[],價值,value; worth,0.5312,0.1562,10114,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67295,aid,aid,verb,T,援助,to help someone,"[{""english"": ""The money will aid poor families."", ""chinese"": ""這筆錢會援助貧困家庭。""}]",助力,to help; to aid,0.5302,0.4173,15394,CC-CEDICT 2026-06-22,CC BY-SA 4.0
5583,ceres,ceres,proper noun,,谷神星,"(astronomy) An asteroid orbiting between Mars and Jupiter, the innermost dwarf planet; officially called (1) Ceres.",[],穀神星,"Ceres, dwarf planet in the asteroid belt between Mars and Jupiter, discovered in 1801 by G. Piazzi",0.5297,0.3767,81755,CC-CEDICT 2026-06-22,CC BY-SA 4.0
16007,indict,indict,verb,T,告知收到,To accuse of wrongdoing; charge.,[],控告,to accuse; to charge; to indict,0.5275,0.5275,47968,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66912,true,true,adjective,,忠誠的,loyal and faithful,"[{""english"": ""He stayed true to his family."", ""chinese"": ""他對家人保持忠誠。""}]",忠心耿耿,loyal and devoted (idiom); faithful and true,0.5275,0.2622,41204,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34227,wolfberry,wolfberry,noun,C,枸杞,Lycium barbarum or Lycium chinense,[],枸杞,wolfberry (Lycium chinense),0.5275,0.1337,56882,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67171,fire,fire,verb,I or T,開火；發射,to shoot a gun or weapon,"[{""english"": ""The soldiers fired at the target."", ""chinese"": ""士兵向目標開火。""}]",射擊,to shoot; to fire (a gun),0.5272,0.2181,33908,CC-CEDICT 2026-06-22,CC BY-SA 4.0
16507,irish,irish,adjective,,爱尔兰语,Pertaining to the Irish language.,"[{""english"": ""Do you speak Irish?"", ""chinese"": ""你能说爱尔兰语吗？""}]",愛爾蘭語,Irish language,0.5272,0.2976,42812,CC-CEDICT 2026-06-22,CC BY-SA 4.0
29580,steam,steam,verb,T,做饭,"(transitive, cooking) To cook with steam.",[],蒸,(of cooking) to steam,0.5268,0.2504,95323,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67438,snow,snow,verb,I,下雪,to have snow falling from the sky,"[{""english"": ""It snowed all night."", ""chinese"": ""整晚都在下雪。""}]",漫天飛舞,(of snow etc) to fill the sky,0.5250,0.1930,67972,CC-CEDICT 2026-06-22,CC BY-SA 4.0
2688,balkan,balkan,adjective,,巴尔干,Of or relating to the Balkan Peninsula.,[],巴爾幹半島,Balkan Peninsula,0.5231,0.2675,36900,CC-CEDICT 2026-06-22,CC BY-SA 4.0
20628,nape,nape,noun,C,項,(anatomy) The back part of the neck.,[],脖頸,back of the neck; nape,0.5231,0.3186,90509,CC-CEDICT 2026-06-22,CC BY-SA 4.0
67070,talk,talk,verb,I or T,討論,to discuss something,"[{""english"": ""They talked about the plan."", ""chinese"": ""他們討論了這個計畫。""}]",談論,to discuss; to talk about,0.5227,0.1216,101541,CC-CEDICT 2026-06-22,CC BY-SA 4.0
8713,deltoid,deltoid,noun,C,三角肌,"(anatomy) The deltoid muscle, a triangular muscle on the human shoulder.",[],三角肌,deltoid muscle (over the shoulder),0.5200,0.5200,1504,CC-CEDICT 2026-06-22,CC BY-SA 4.0
12760,froth,froth,noun,C or U,泡沫,Foam.,[],浮沫,froth; foam,0.5179,0.3558,65140,CC-CEDICT 2026-06-22,CC BY-SA 4.0
23099,persian,persian,adjective,,波斯語,Of or pertaining to the Persian language.,[],波斯語,Persian (language),0.5179,0.1410,64073,CC-CEDICT 2026-06-22,CC BY-SA 4.0
34547,yiddish,yiddish,adjective,,意第绪语,Of or pertaining to the Yiddish language.,"[{""english"": ""He speaks Yiddish."", ""chinese"": ""他会说意第绪语。""}]",意第緒語,Yiddish language,0.5179,0.5179,42668,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66541,material,material,noun,U,布料,cloth used for making clothes or other items,"[{""english"": ""We chose a soft material for the curtains."", ""chinese"": ""我們為窗簾選了一種柔軟布料。""}]",面料,material for making clothes,0.5158,0.1531,117900,CC-CEDICT 2026-06-22,CC BY-SA 4.0
31065,terribly,terribly,adverb,,可怕,Very; extremely.,[],要命,extremely; terribly,0.5156,0.4020,99505,CC-CEDICT 2026-06-22,CC BY-SA 4.0
66546,place,place,verb,T,放置；安放,to put something in a particular position,"[{""english"": ""She placed the cup on the table."", ""chinese"": ""她把杯子放在桌上。""}]",置於,to place in; to put in (a position),0.5120,0.2000,87437,CC-CEDICT 2026-06-22,CC BY-SA 4.0
3710,blistering,blistering,adjective,,灼熱的；極熱的,Very hot.,[],炎熱,blistering hot,0.5114,0.4762,69217,CC-CEDICT 2026-06-22,CC BY-SA 4.0
10381,email,email,noun,C,电子函件,"(countable, informal) An email address.",[],電郵地址,email address,0.5104,0.2331,117058,CC-CEDICT 2026-06-22,CC BY-SA 4.0
